Geneid,Ctr_S1,Ctr_S2,Ctr_S7,Ctr_S13,RS_S6,RS_S9,RS_S12,RS_S16
ENSG00000142611,73,24,54,14,5,11,17,1
ENSG00000284616,0,0,0,0,0,0,0,0
ENSG00000157911,189,175,213,250,182,99,169,102
ENSG00000260972,0,0,0,0,0,0,0,0
ENSG00000224340,0,0,0,0,0,0,0,0
ENSG00000229280,1,1,0,0,0,0,0,0
ENSG00000142655,224,363,346,301,332,210,268,251
ENSG00000232596,0,0,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0,0,0
ENSG00000149527,6,4,3,4,1,3,5,5
ENSG00000171621,532,813,628,659,1170,359,604,568
ENSG00000272235,6,7,5,0,1,2,8,2
ENSG00000284694,0,0,0,1,0,0,0,0
ENSG00000224387,0,0,0,0,1,0,0,0
ENSG00000142583,32,13,21,1,26,168,112,9
ENSG00000284674,0,0,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0,0,0
ENSG00000287727,0,1,0,0,0,1,0,1
ENSG00000173614,145,242,176,166,164,104,169,153
ENSG00000215720,0,0,1,0,0,0,0,0
ENSG00000241326,0,0,0,0,0,0,0,0
ENSG00000233623,0,0,0,0,0,0,0,0
ENSG00000204624,1,0,1,0,0,0,0,0
ENSG00000142606,0,0,0,0,0,0,0,0
ENSG00000225931,0,0,0,3,2,0,0,0
ENSG00000171729,40,38,96,22,77,41,80,34
ENSG00000229393,0,0,0,0,0,0,0,0
ENSG00000287586,0,0,0,0,0,0,0,0
ENSG00000227169,0,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0
ENSG00000157916,1565,2519,1577,2203,2075,1032,1774,1786
ENSG00000157881,231,254,254,315,132,138,195,170
ENSG00000225387,0,0,0,0,0,0,0,0
ENSG00000048707,974,948,1102,943,1012,807,994,907
ENSG00000225196,0,0,0,0,0,0,0,0
ENSG00000162444,0,0,1,2,0,0,2,0
ENSG00000279625,0,0,0,0,0,0,0,0
ENSG00000180758,80,65,93,67,54,96,81,75
ENSG00000184677,302,525,423,372,361,245,307,287
ENSG00000285833,0,0,0,0,0,0,0,0
ENSG00000131697,173,208,254,234,148,148,230,206
ENSG00000280222,0,0,0,0,0,0,0,0
ENSG00000285945,0,0,0,0,0,0,0,0
ENSG00000197921,0,0,0,1,0,0,0,0
ENSG00000284666,0,0,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0,0,0
ENSG00000234397,0,0,0,0,0,0,0,0
ENSG00000204138,315,475,435,441,238,175,220,225
ENSG00000233419,0,0,1,0,0,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0
ENSG00000284676,0,0,0,0,0,0,0,0
ENSG00000090020,953,1057,1402,989,1429,914,1131,864
ENSG00000158006,199,287,230,194,243,142,208,174
ENSG00000214812,1,0,0,0,0,1,1,1
ENSG00000196581,0,0,0,0,6,0,1,0
ENSG00000169403,1,1,2,2,0,1,1,2
ENSG00000171612,59,78,83,65,51,46,71,27
ENSG00000270927,0,0,0,0,0,0,0,0
ENSG00000188910,5,1,1,18,0,0,1,12
ENSG00000230523,0,0,0,0,0,0,0,0
ENSG00000158161,382,743,478,492,350,271,343,353
ENSG00000233234,0,0,0,0,0,0,0,0
ENSG00000189337,201,187,259,166,152,284,188,73
ENSG00000028137,103,109,113,40,112,94,40,0
ENSG00000283259,0,0,0,0,0,0,0,0
ENSG00000130939,986,1262,1163,1198,1099,635,979,917
ENSG00000175147,0,0,4,0,3,1,3,0
ENSG00000127472,22,0,1,2,1,5,13,2
ENSG00000060656,221,420,242,290,117,29,205,152
ENSG00000230214,0,0,0,0,0,0,0,0
ENSG00000189280,0,3,3,4,14,0,8,7
ENSG00000134698,176,214,216,267,169,151,180,131
ENSG00000272420,0,1,0,1,2,0,0,1
ENSG00000273274,0,0,0,0,0,1,0,3
ENSG00000236648,0,0,0,0,0,0,0,0
ENSG00000232273,0,0,0,0,2,0,1,1
ENSG00000130940,2,2,8,3,8,4,8,4
ENSG00000163879,108,192,102,106,99,21,46,61
ENSG00000227527,3,2,2,0,1,2,1,0
ENSG00000116954,329,333,474,336,438,292,460,192
ENSG00000163873,0,0,0,0,0,1,0,1
ENSG00000117215,0,0,0,0,2,0,0,0
ENSG00000230163,0,0,0,0,0,0,0,0
ENSG00000227538,0,1,0,0,0,0,0,0
ENSG00000044012,0,0,0,0,0,0,0,0
ENSG00000179051,957,1269,1456,1606,679,595,788,702
ENSG00000215895,19,21,15,17,13,7,17,28
ENSG00000126067,1884,2397,2184,2473,1865,981,1714,1926
ENSG00000274944,0,0,0,0,0,0,0,0
ENSG00000272078,1,1,0,1,1,0,1,0
ENSG00000230451,0,0,0,0,0,0,0,0
ENSG00000231606,0,1,0,0,0,0,0,0
ENSG00000054118,2302,2939,3048,2988,1903,1369,1917,2056
ENSG00000254553,0,0,0,0,0,0,0,0
ENSG00000284653,0,0,0,0,0,0,0,0
ENSG00000237749,2,0,0,0,1,0,0,0
ENSG00000276747,0,0,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0,0,0
ENSG00000159339,0,0,0,2,0,0,0,0
ENSG00000261781,0,0,0,0,0,0,0,0
ENSG00000158315,19,8,13,5,8,7,6,13
ENSG00000186973,1,2,0,0,1,0,0,1
ENSG00000146463,1028,1567,1113,1107,1079,692,967,987
