"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSG00000092853",257.749014137851,-1.89513390285033,0.590061981879236,4.77509076620713e-05,0.00159690477835784,"CLSPN"
"ENSG00000123080",211.948341999194,-2.10933551810428,0.488438910777072,6.50359838459106e-07,6.05084788166376e-05,"CDKN2C"
"ENSG00000162607",549.319971711918,-1.15878205203812,0.298159181098156,5.31326175117396e-06,0.000291006343609581,"USP1"
"ENSG00000162433",862.827456399172,1.54523208783313,0.364027022611581,1.02782575759033e-06,8.57392413565449e-05,"AK4"
"ENSG00000184371",1680.16273394349,1.09940737203048,0.335105315549611,4.80527366548847e-05,0.00160330441335402,"CSF1"
"ENSG00000143228",218.420599777097,-2.25898529947501,0.515729540778445,4.82035272407902e-07,4.89248947113866e-05,"NUF2"
"ENSG00000143476",305.798180316789,-1.71069325873383,0.456483258121483,7.45593712582775e-06,0.000370600929603644,"DTL"
"ENSG00000117650",163.346540184023,-2.08462456987396,0.683005431119793,7.55500092800863e-05,0.00234803604858924,"NEK2"
"ENSG00000097046",103.417652450905,-1.23894050636085,0.468865043721677,0.000325749157029562,0.00696306813715327,"CDC7"
"ENSG00000120937",189.357924448134,2.48381360297818,0.875669157139119,0.000139558744032358,0.00375798814635556,"NPPB"
"ENSG00000142945",319.82790462071,-2.08475378348279,0.545051405520043,5.06885521457293e-06,0.000282959094555045,"KIF2C"
"ENSG00000121957",157.466039496877,-1.67501094781578,0.611550875781135,0.000206899766655736,0.00506398518253179,"GPSM2"
"ENSG00000085840",99.1380927518608,-1.6765949848803,0.471320183068486,1.58300168825509e-05,0.000671803698927904,"ORC1"
"ENSG00000132780",733.855674516149,-1.36502300077209,0.221380984796362,3.83866185637726e-11,2.78571690917298e-08,"NASP"
"ENSG00000117399",686.789229169315,-2.53313669589792,0.517745361492351,4.0896442206366e-08,7.6098841305538e-06,"CDC20"
"ENSG00000066279",908.069435107674,-1.86749871000111,0.594536604844227,5.97836458327203e-05,0.00190285051670198,"ASPM"
"ENSG00000183856",377.112936812365,-1.8096158041242,0.769099735830315,0.000523461304966035,0.0099054985401265,"IQGAP3"
"ENSG00000123473",274.431687081955,-1.22175683202188,0.309770055919495,4.10694563480425e-06,0.00023939039736365,"STIL"
"ENSG00000163531",1647.79784903417,1.4253973857356,0.275446973092928,1.21571670098105e-08,3.0422262410412e-06,"NFASC"
"ENSG00000174371",142.900158279195,-2.27732186822402,0.449416002288789,1.75813493061989e-08,4.05040799730431e-06,"EXO1"
"ENSG00000143815",340.77428826694,-1.3790781886454,0.259933579233747,6.16725340681266e-09,1.79023031892958e-06,"LBR"
