"","x"
"1",65979
"2",63967
"3",1031
"4",7398
"5",84950
"6",30836
"7",8458
"8",55732
"9",83540
"10",25896
"11",51514
"12",4811
"13",4751
"14",1660
"15",25936
"16",8317
"17",55631
"18",6635
"19",128061
"20",55119
"21",65243
"22",79000
"23",11004
"24",8891
"25",84230
"26",29899
"27",102465439
"28",10969
"29",4998
"30",4904
"31",55721
"32",55157
"33",9191
"34",142
"35",4678
"36",26135
"37",286826
"38",494115
"39",26155
"40",991
"41",259266
"42",128239
"43",79590
"44",163786
"45",10657
"46",6125
"47",10262
"48",5394
"49",65005
"50",6491
"51",8420
"52",79180
"53",4893
"54",1122
"55",55210
"56",9156
"57",3930
"58",1104
"59",343099
"60",23028
"61",1163
"62",55706
"63",10772
"64",11124
"65",54482
"66",55705
"67",8438
"68",51154
"69",64789
"70",515
"71",84722
"72",6421
"73",64858
"74",80135
"75",117178
"76",81611
"77",34
"78",101060684
"79",728841
"80",400818
"81",29089
"82",5087
"83",3192
"84",7170
"85",100500853
"86",1912
"87",58155
"88",1063
"89",83858
"90",55143
"91",3068
"92",27101
"93",10236
"94",29957
"95",9410
"96",55635
"97",64710
"98",6390
"99",3151
"100",3608
"101",10946
"102",9928
"103",100500808
"104",3925
"105",6201
"106",348654
"107",6432
"108",580
"109",1841
"110",55355
"111",57405
"112",2736
"113",5496
"114",284992
"115",100526832
"116",151230
"117",4691
"118",6637
"119",6241
"120",9654
"121",100302285
"122",728026
"123",5757
"124",699
"125",79172
"126",4999
"127",3667
"128",7840
"129",55704
"130",494143
"131",79954
"132",165055
"133",10575
"134",83879
"135",150468
"136",7072
"137",4953
"138",151246
"139",4175
"140",23178
"141",1058
"142",9125
"143",2956
"144",84908
"145",10574
"146",8520
"147",7520
"148",100616394
"149",220988
"150",23397
"151",51143
"152",151648
"153",6599
"154",10274
"155",8607
"156",200916
"157",8833
"158",200933
"159",165918
"160",23350
"161",86
"162",57129
"163",64770
"164",286827
"165",25886
"166",116832
"167",102465536
"168",5859
"169",1894
"170",55171
"171",5984
"172",993
"173",2177
"174",10721
"175",6434
"176",83939
"177",11222
"178",11073
"179",57650
"180",25904
"181",9045
"182",100616477
"183",7155
"184",201627
"185",56992
"186",79598
"187",5576
"188",23132
"189",29114
"190",10051
"191",4292
"192",7384
"193",80335
"194",4171
"195",25924
"196",1665
"197",84803
"198",3015
"199",65008
"200",79807
"201",4085
"202",132320
"203",1909
"204",57291
"205",3148
"206",64151
"207",166378
"208",5393
"209",890
"210",201973
"211",79682
"212",7468
"213",84142
"214",54433
"215",201725
"216",5471
"217",10460
"218",54969
"219",58478
"220",1062
"221",55646
"222",55345
"223",51574
"224",254251
"225",1633
"226",53371
"227",6059
"228",79441
"229",6731
"230",3184
"231",9987
"232",10733
"233",55132
"234",2261
"235",55728
"236",9662
"237",56978
"238",80155
"239",8633
"240",8467
"241",10606
"242",55247
"243",23517
"244",4001
"245",1719
"246",9232
"247",57472
"248",9879
"249",4869
"250",6502
"251",995
"252",167227
"253",56099
"254",56105
"255",10399
"256",9319
"257",689
"258",83463
"259",3161
"260",54908
"261",91368
"262",891
"263",64946
"264",6932
"265",3187
"266",55789
"267",4090
"268",10112
"269",64105
"270",5019
"271",7913
"272",54901
"273",83732
"274",55166
"275",3066
"276",9774
"277",29078
"278",7272
"279",26271
"280",84946
"281",9994
"282",55003
"283",39
"284",6950
"285",29074
"286",88745
"287",202
"288",84816
"289",112495
"290",84154
"291",387103
"292",85021
"293",7407
"294",57819
"295",51053
"296",203068
"297",4736
"298",100302242
"299",7936
"300",25842
"301",8899
"302",3833
"303",84547
"304",11270
"305",23376
"306",9656
"307",7430
"308",54535
"309",51645
"310",1192
"311",253714
"312",6631
"313",2178
"314",4172
"315",3159
"316",6941
"317",4216
"318",84300
"319",988
"320",285753
"321",262
"322",5134
"323",4800
"324",6428
"325",908
"326",2631
"327",3082
"328",54892
"329",94239
"330",5982
"331",51593
"332",1129
"333",4521
"334",10926
"335",2146
"336",7516
"337",5425
"338",2115
"339",63979
"340",22976
"341",4176
"342",3181
"343",54468
"344",54443
"345",139886
"346",27336
"347",79589
"348",55086
"349",10682
"350",27316
"351",5634
"352",8243
"353",57826
"354",4841
"355",5422
"356",10813
"357",51616
"358",2491
"359",81887
"360",3251
"361",8241
"362",6839
"363",10084
"364",24137
"365",2187
"366",5935
"367",292
"368",100847052
"369",1736
"370",55796
"371",5931
"372",6103
"373",54821
"374",8776
"375",3149
"376",6611
"377",51260
"378",55190
"379",84549
"380",4325
"381",10940
"382",3788
"383",25788
"384",27085
"385",93594
"386",6129
"387",9134
"388",55326
"389",9401
"390",4796
"391",84296
"392",27161
"393",100127983
"394",4173
"395",157570
"396",55872
"397",5569
"398",157313
"399",169044
"400",64425
"401",4686
"402",9833
"403",84904
"404",84131
"405",89958
"406",10383
"407",9414
"408",55684
"409",91283
"410",26147
"411",23137
"412",30968
"413",9328
"414",6130
"415",4712
"416",29941
"417",23511
"418",89891
"419",347240
"420",9128
"421",54107
"422",25792
"423",6418
"424",11064
"425",80010
"426",23404
"427",2176
"428",2189
"429",51116
"430",1164
"431",10541
"432",407043
"433",3190
"434",195828
"435",4957
"436",26953
"437",55071
"438",7762
"439",374393
"440",2237
"441",8898
"442",6749
"443",5499
"444",28960
"445",219844
"446",7465
"447",6240
"448",220042
"449",5702
"450",102465453
"451",4162
"452",84811
