"","x"
"1",9829
"2",205
"3",1435
"4",2629
"5",4879
"6",5351
"7",164091
"8",1893
"9",57463
"10",127829
"11",23154
"12",23114
"13",5129
"14",79729
"15",3140
"16",114784
"17",284615
"18",9068
"19",5563
"20",4209
"21",2517
"22",51706
"23",23352
"24",8497
"25",6272
"26",4179
"27",9635
"28",728621
"29",1130
"30",1486
"31",1647
"32",51150
"33",3716
"34",23385
"35",8804
"36",11080
"37",2331
"38",388630
"39",2035
"40",26038
"41",113451
"42",8514
"43",3725
"44",83941
"45",9528
"46",2134
"47",8934
"48",254428
"49",93185
"50",8682
"51",5208
"52",57823
"53",23207
"54",2202
"55",2034
"56",9741
"57",130827
"58",8745
"59",80856
"60",23433
"61",9581
"62",30061
"63",27013
"64",79137
"65",80146
"66",1803
"67",130612
"68",1639
"69",390
"70",56603
"71",79901
"72",130399
"73",3300
"74",8837
"75",51141
"76",2191
"77",54884
"78",84173
"79",129303
"80",2677
"81",79586
"82",29094
"83",3485
"84",2571
"85",26003
"86",51449
"87",57142
"88",7844
"89",7857
"90",5270
"91",54842
"92",785
"93",1261
"94",9577
"95",26056
"96",98
"97",55686
"98",11227
"99",3631
"100",55654
"101",51646
"102",80255
"103",285362
"104",55129
"105",1608
"106",55076
"107",9076
"108",5274
"109",51560
"110",5210
"111",100616112
"112",1951
"113",51517
"114",3708
"115",64747
"116",50512
"117",26996
"118",51368
"119",79885
"120",57493
"121",7325
"122",51161
"123",11342
"124",2720
"125",100129550
"126",102724550
"127",1295
"128",55314
"129",9227
"130",9848
"131",51778
"132",113612
"133",64116
"134",80854
"135",7466
"136",4299
"137",23324
"138",54532
"139",4043
"140",950
"141",3425
"142",10424
"143",92305
"144",152503
"145",23194
"146",1008
"147",493869
"148",3672
"149",23743
"150",64374
"151",51428
"152",56139
"153",56137
"154",56134
"155",5813
"156",492311
"157",84418
"158",79770
"159",92255
"160",23061
"161",79930
"162",10087
"163",54463
"164",56113
"165",56111
"166",56110
"167",54622
"168",8992
"169",57222
"170",10960
"171",9522
"172",57451
"173",54732
"174",26112
"175",2760
"176",9547
"177",2745
"178",26249
"179",56144
"180",6586
"181",8878
"182",6715
"183",9604
"184",56477
"185",2196
"186",643401
"187",22936
"188",5122
"189",22875
"190",51390
"191",3134
"192",55362
"193",3482
"194",3133
"195",63027
"196",8334
"197",8365
"198",8341
"199",3017
"200",28962
"201",2534
"202",60685
"203",58528
"204",112609
"205",79627
"206",84624
"207",85236
"208",100113407
"209",54210
"210",4758
"211",9907
"212",1687
"213",6424
"214",57798
"215",27072
"216",54467
"217",5054
"218",10512
"219",7784
"220",54476
"221",5244
"222",5243
"223",221955
"224",10466
"225",154881
"226",101927181
"227",55501
"228",222255
"229",3486
"230",346653
"231",57414
"232",7425
"233",100507421
"234",23382
"235",285973
"236",10603
"237",54749
"238",26100
"239",114796
"240",378805
"241",5445
"242",83604
"243",10159
"244",3423
"245",215
"246",51114
"247",412
"248",10857
"249",3920
"250",23096
"251",83692
"252",4067
"253",27067
"254",4982
"255",4856
"256",114907
"257",4147
"258",157506
"259",66004
"260",10404
"261",427
"262",4747
"263",286077
"264",2907
"265",94241
"266",80124
"267",727957
"268",2131
"269",90362
"270",113655
"271",23643
"272",1052
"273",102465508
"274",1191
"275",100616115
"276",81790
"277",3786
"278",55290
"279",100507156
"280",100507632
"281",9615
"282",56654
"283",8434
"284",11253
"285",548645
"286",445
"287",1317
"288",23189
"289",203259
"290",79987
"291",51148
"292",4915
"293",1029
"294",9853
"295",445815
"296",8555
"297",6812
"298",2683
"299",29952
"300",54472
"301",341208
"302",80310
"303",57562
"304",5526
"305",347862
"306",977
"307",66005
"308",1410
"309",5002
"310",133
"311",30008
"312",256472
"313",3995
"314",25996
"315",7275
"316",1850
"317",1509
"318",254359
"319",8722
"320",710
"321",56674
"322",1200
"323",55191
"324",2132
"325",2352
"326",272
"327",55823
"328",595
"329",283149
"330",54843
"331",55343
"332",283130
"333",144100
"334",100616453
"335",6786
"336",975
"337",53
"338",387763
"339",322
"340",1740
"341",79671
"342",23705
"343",56834
"344",6712
"345",7439
"346",693197
"347",283131
"348",9562
"349",170394
"350",5662
"351",8861
"352",4601
"353",26123
"354",84159
"355",5092
"356",1571
"357",5660
"358",100616113
"359",27250
"360",118491
"361",10133
"362",8030
"363",5033
"364",818
"365",83938
"366",55176
"367",404636
"368",118672
"369",11067
"370",5223
"371",54682
"372",4908
"373",57460
"374",5801
"375",79158
"376",114882
"377",55332
"378",4035
"379",283383
"380",84749
"381",79837
"382",5830
"383",53373
"384",967
"385",2799
"386",79600
"387",196463
"388",80763
"389",6249
"390",9921
"391",50865
"392",102465519
"393",283450
"394",6334
"395",121260
"396",22877
"397",83857
"398",57658
"399",10970
"400",353116
"401",9445
"402",2621
"403",55647
"404",100847026
"405",23078
"406",3916
"407",8848
"408",540
"409",348013
"410",100506394
"411",100874158
"412",51635
"413",6751
"414",23034
"415",51222
"416",8747
"417",3714
"418",63874
"419",161145
"420",84439
"421",23357
"422",113201
"423",83464
"424",771
"425",51762
"426",55323
"427",102
"428",257364
"429",56851
"430",7782
"431",80381
"432",123720
"433",83440
"434",3073
"435",23102
"436",56204
"437",64506
"438",10099
"439",693213
"440",9236
"441",9245
"442",4828
"443",23339
"444",51458
"445",4130
"446",57184
"447",10169
"448",7057
"449",11245
"450",50804
"451",220
"452",6638
"453",83986
"454",21
"455",255027
"456",81533
"457",93129
"458",83719
"459",64788
"460",267
"461",23659
"462",10423
"463",226
"464",56061
"465",64400
"466",84752
"467",29800
"468",146223
"469",57146
"470",55238
"471",84572
"472",58986
"473",197342
"474",29070
"475",124446
"476",1535
"477",1186
"478",81631
"479",102465429
"480",5310
"481",9727
"482",8996
"483",146330
"484",6236
"485",105369247
"486",23475
"487",57465
"488",8714
"489",10140
"490",7448
"491",124936
"492",57555
"493",140735
"494",5034
"495",64122
"496",5164
"497",8741
"498",10350
"499",23460
"500",114897
"501",201266
"502",1497
"503",100423004
"504",100422961
"505",9842
"506",80221
"507",9241
"508",6448
"509",201176
"510",100847046
"511",535
"512",4642
"513",51
"514",102466911
"515",9772
"516",7077
"517",2896
"518",6352
"519",2548
"520",55106
"521",84961
"522",4779
"523",55876
"524",94103
"525",9811
"526",25800
"527",115701
"528",3909
"529",440498
"530",374860
"531",63895
"532",3998
"533",147372
"534",57724
"535",10892
"536",147463
"537",1470
"538",9962
"539",81031
"540",10079
"541",1471
"542",57446
"543",9885
"544",10893
"545",27111
"546",2036
"547",128637
"548",1469
"549",9762
"550",5786
"551",6714
"552",63908
"553",51614
"554",6676
"555",55713
"556",84557
"557",9777
"558",5476
"559",10904
"560",55741
"561",60598
"562",140885
"563",81502
"564",57622
"565",84258
"566",3383
"567",84335
"568",51129
"569",2217
"570",57333
"571",6237
"572",1954
"573",404217
"574",54814
"575",23396
"576",51257
"577",23309
"578",147645
"579",6320
"580",57731
"581",50944
"582",22859
"583",9518
"584",1777
"585",100616314
"586",79735
"587",113178
"588",2997
"589",10430
"590",5817
"591",23646
"592",9149
"593",4924
"594",79603
"595",2512
"596",5673
"597",9145
"598",100616414
"599",1312
"600",3162
"601",83999
"602",410
"603",23780
"604",66035
"605",129025
"606",23313
"607",113791
"608",1827
