"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051783","regulation of nuclear division",115,-0.854445557785856,-2.82898243108414,0.0175438596491228,0.0725877192982456,0.0431671283471838,479,"tags=37%, list=4%, signal=36%","23636/7517/1104/54908/27085/348654/55055/3619/9735/10635/9700/9319/79866/220134/9585/83903/11130/6790/26271/4085/11065/891/147841/699/701/157313/332/221150/995/1063/7272/55143/5347/4288/4751/10403/57405/9787/57082/83540/9212/991"
"GO:0007088","regulation of mitotic nuclear division",100,-0.868784605528682,-2.82816706334834,0.0196078431372549,0.0725877192982456,0.0431671283471838,479,"tags=41%, list=4%, signal=40%","23636/7517/1104/54908/27085/348654/55055/3619/9735/9700/9319/79866/220134/9585/83903/11130/6790/26271/4085/11065/891/147841/699/701/157313/332/221150/995/1063/7272/55143/5347/4288/4751/10403/57405/9787/57082/83540/9212/991"
"GO:0098813","nuclear chromosome segregation",272,-0.819259279636333,-2.82332770728486,0.0163934426229508,0.0725877192982456,0.0431671283471838,994,"tags=42%, list=8%, signal=40%","6597/29117/25936/56647/6602/10459/4292/996/9183/3837/55193/8899/51143/55920/81929/7155/6599/348235/5501/7283/3192/10274/79598/79003/6598/84142/440145/23636/55125/55706/86/7517/1104/79980/54908/23310/9126/8193/8243/55166/348654/55055/1894/3619/64105/84722/9735/29781/90417/9918/9700/113130/3835/9319/29893/83990/9493/54892/29127/220134/9928/81930/83903/983/11130/6790/26271/2491/9133/4085/11065/81620/9055/9134/10051/29128/22974/81610/990/146909/891/3832/9232/10460/147841/2177/259266/56992/699/701/332/221150/151648/1063/7272/7153/10615/55143/5347/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0000280","nuclear division",347,-0.789373392611926,-2.78992954618099,0.0153846153846154,0.0725877192982456,0.0431671283471838,958,"tags=37%, list=7%, signal=35%","10600/25936/56647/10459/11331/4292/9183/80198/3837/8899/51143/81929/7155/10419/348235/5501/7283/3192/10274/79598/79003/5889/675/54820/84930/84142/4603/440145/23636/55125/55706/57697/5902/7517/1104/54908/23310/9126/8243/63979/27338/27085/348654/55055/1164/3619/64105/84722/9735/994/29781/90417/9918/146956/80010/10635/25788/9700/113130/3835/9319/29893/83990/5888/79866/9493/54892/29127/220134/9928/9585/81930/83903/983/11130/6790/26271/2491/9133/4085/11065/81620/9055/9134/10051/29128/22974/146909/891/3832/9232/147841/2177/259266/56992/699/701/2175/157313/332/221150/995/151648/1063/7272/54443/7153/10615/55143/8438/5347/4288/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0000819","sister chromatid segregation",217,-0.826048830514611,-2.77846222953836,0.0178571428571429,0.0725877192982456,0.0431671283471838,994,"tags=45%, list=8%, signal=42%","6597/29117/25936/56647/6602/10459/996/9183/3837/55193/8899/51143/81929/7155/6599/348235/5501/7283/3192/10274/79598/79003/6598/84142/440145/23636/55125/86/7517/1104/54908/23310/9126/8193/8243/348654/55055/3619/64105/84722/9735/29781/90417/9918/9700/113130/3835/9319/9493/54892/29127/220134/9928/81930/83903/983/11130/26271/2491/4085/11065/81620/9055/10051/29128/22974/990/146909/891/3832/10460/147841/56992/699/701/332/221150/1063/7272/7153/10615/55143/5347/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0007059","chromosome segregation",371,-0.791920857375539,-2.77742466486684,0.0178571428571429,0.0725877192982456,0.0431671283471838,1494,"tags=47%, list=11%, signal=43%","54984/23421/26065/201254/29901/6188/79643/27229/11243/283489/8086/54801/7175/8467/348995/729440/10735/126731/9184/7156/51776/54930/55755/10426/6603/10726/28989/64793/55142/10592/6597/29117/25936/56647/6602/10459/4292/996/9183/3837/55193/8899/51143/55920/81929/79677/7155/56852/6599/23137/10664/348235/5501/7283/3192/91687/10274/79598/79003/6598/203068/54820/292/84142/440145/23636/55125/163786/401541/55706/86/7517/1104/54069/23354/79980/54908/23310/9126/8193/81624/79172/8243/115106/55166/79441/55732/55835/348654/55055/1894/55839/3619/64105/84722/9735/29781/90417/9918/93323/64946/6491/9700/113130/3835/9319/672/29893/83990/9493/54892/29127/220134/55355/9928/81930/83903/983/11130/151246/6790/26271/2491/9133/4085/29899/11065/81620/9055/9134/10051/29128/22974/81610/990/146909/891/3832/9232/10460/147841/2177/259266/56992/699/79682/701/387103/157313/332/221150/151648/157570/1063/7272/7153/10615/55143/5347/4288/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0140014","mitotic nuclear division",248,-0.811276944110509,-2.7720115844487,0.0185185185185185,0.0725877192982456,0.0431671283471838,1322,"tags=46%, list=10%, signal=43%","9088/7175/8467/4781/729440/10735/126731/9184/1027/55755/8815/10726/6152/64793/10592/80346/10600/25936/56647/10459/11331/9183/3837/8899/51143/81929/10419/348235/5501/7283/3192/10274/79598/79003/54820/84142/440145/23636/55125/5902/7517/1104/54908/23310/9126/8243/27338/27085/348654/55055/3619/64105/84722/9735/29781/90417/9918/9700/113130/3835/9319/79866/9493/54892/29127/220134/9928/9585/81930/83903/983/11130/6790/26271/2491/4085/11065/81620/9055/10051/29128/22974/146909/891/3832/147841/56992/699/701/157313/332/221150/995/1063/7272/54443/10615/55143/5347/4288/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0048285","organelle fission",390,-0.767590562861932,-2.75388993219637,0.0153846153846154,0.0725877192982456,0.0431671283471838,958,"tags=33%, list=7%, signal=32%","10600/25936/56647/10459/11331/4292/9183/80198/3837/8899/51143/81929/7155/10419/348235/5501/7283/3192/10274/79598/79003/5889/675/54820/84930/113115/84142/4603/440145/23636/55125/55706/57697/5902/7517/1104/80179/54908/23310/9126/8243/63979/27338/27085/348654/55055/1164/3619/64105/84722/9735/994/29781/90417/9918/146956/80010/10635/25788/9700/113130/3835/9319/29893/83990/5888/79866/9493/54892/29127/220134/9928/9585/81930/83903/983/11130/6790/26271/2491/9133/4085/11065/81620/9055/9134/10051/29128/22974/146909/891/3832/9232/147841/2177/259266/56992/699/701/2175/157313/332/221150/995/151648/1063/7272/54443/7153/10615/55143/8438/5347/4288/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
"GO:0006260","DNA replication",258,-0.795305028252827,-2.74175818553186,0.0178571428571429,0.0725877192982456,0.0431671283471838,983,"tags=43%, list=7%, signal=40%","11284/374393/4999/83743/51377/5763/80198/10445/57695/11124/1660/79596/8607/201973/6117/79075/79892/2736/23649/11177/25842/11198/10856/6119/675/54107/5931/54962/91607/11073/10714/10293/64710/57697/86/6418/55159/9126/7465/4796/142/90381/80174/5982/6749/4175/5111/348654/63922/6240/29980/5985/64785/5426/9401/1663/1017/5422/23594/84296/2237/4172/146956/80010/11169/253714/84515/3159/10036/3978/8317/4173/5983/144455/9837/580/1763/5424/4171/9768/4678/672/10926/8914/5888/993/8208/5984/983/4174/7083/4176/26271/4998/51053/81620/9134/51514/990/641/10721/51659/55388/8318/5427/157570/890/79733/79915/9156"
"GO:0000070","mitotic sister chromatid segregation",179,-0.836622638606325,-2.74088852124692,0.0181818181818182,0.0725877192982456,0.0431671283471838,659,"tags=47%, list=5%, signal=46%","25936/56647/10459/9183/3837/8899/51143/81929/348235/5501/7283/3192/10274/79598/79003/84142/440145/23636/55125/7517/1104/54908/23310/9126/8243/348654/55055/3619/64105/84722/9735/29781/90417/9918/9700/113130/3835/9319/9493/54892/29127/220134/9928/81930/83903/983/11130/26271/2491/4085/11065/81620/9055/10051/29128/22974/146909/891/3832/147841/56992/699/701/332/221150/1063/7272/10615/55143/5347/23397/4751/11004/1062/10403/4605/57405/9787/64151/24137/3833/57082/83540/9212/991"
