"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-69278","Cell Cycle, Mitotic",492,-0.755625890311067,-2.72655454324932,0.0161290322580645,0.0492149758454106,0.022883295194508,1409,"tags=45%, list=11%, signal=41%","7514/27229/11243/1032/9702/8086/23244/54801/8480/9088/5717/7175/348995/10735/9972/9184/22897/54930/1027/5684/5706/1874/55755/10426/84617/8815/10726/5116/5425/55142/10592/7531/5108/4999/25936/5528/9793/996/9183/5702/23165/3837/51143/129401/3320/55920/9688/81929/6117/10762/348235/5501/9631/9818/7283/23649/22994/7027/91687/10274/7840/4957/6119/79003/79902/203068/54107/54820/84930/84790/9738/6502/94239/53371/440145/23279/23636/55125/23047/10714/401541/55706/57122/6418/4927/1104/23511/23354/79980/54908/23310/10376/9126/3021/9662/7465/1869/7443/10381/79172/8243/115106/5982/27338/10383/4175/55166/79441/5111/286826/55732/55835/84131/55055/5985/64785/5426/55839/7298/3619/64105/11064/9735/1163/994/1017/5422/29781/23594/1719/9918/84296/2237/93323/4172/64946/84515/3014/3978/8317/4173/5983/9700/9837/5933/113130/1763/5424/4171/6241/3930/1058/10926/79866/993/9493/54892/220134/5984/22995/81930/983/11130/151246/4174/6790/7083/4176/7112/2305/26271/2491/9133/4085/4998/3161/11065/51053/81620/9134/10051/22974/990/10733/891/9232/147841/699/79682/701/51659/10112/332/55388/995/8318/5427/151648/157570/1063/7153/55143/5347/890/23397/51512/4751/11004/1031/1062/10403/4605/57405/54821/4001/64151/57082/83540/9212/991"
"R-HSA-68877","Mitotic Prometaphase",192,-0.818355229713784,-2.71431965782563,0.0169491525423729,0.0492149758454106,0.022883295194508,1409,"tags=56%, list=11%, signal=51%","7514/27229/11243/9702/23244/54801/348995/10735/9184/22897/54930/55755/10426/84617/10726/5116/55142/10592/7531/5108/25936/5528/9793/9183/51143/3320/55920/81929/348235/5501/7283/22994/91687/10274/7840/4957/79003/79902/203068/54820/84790/9738/440145/23279/55125/23047/401541/57122/23354/79980/54908/10376/9126/9662/10381/79172/8243/115106/10383/55166/79441/55732/55835/84131/55055/55839/3619/64105/11064/9735/9918/93323/64946/113130/1058/220134/22995/81930/983/11130/151246/2491/9133/4085/10051/10733/891/147841/699/79682/701/332/151648/1063/55143/5347/23397/4751/11004/1062/10403/57405/54821/64151/57082/83540/9212/991"
"R-HSA-69620","Cell Cycle Checkpoints",258,-0.768081248078101,-2.61788065849638,0.0161290322580645,0.0492149758454106,0.022883295194508,968,"tags=40%, list=7%, signal=37%","83695/4999/25936/5528/9793/996/9183/5702/51143/84126/55920/81929/6117/348235/5501/91687/6119/79003/79902/54820/9656/84142/23279/11073/401541/57122/165918/79980/54908/7465/79172/5982/27338/4175/55166/55055/5985/55839/3619/64105/9735/1017/23594/4172/80010/64946/84515/7468/3014/8317/4173/5983/580/1763/4171/672/1058/83990/10926/993/220134/5984/81930/983/11130/151246/4174/4176/2491/9133/4085/4998/11065/9134/990/641/891/147841/699/79682/701/63967/332/55388/995/8318/151648/1063/55143/5347/890/51512/11004/1062/10403/57405/54821/57082/83540/9156/9212/991"
"R-HSA-2555396","Mitotic Metaphase and Anaphase",217,-0.789013335274818,-2.58345922067064,0.0147058823529412,0.0492149758454106,0.022883295194508,954,"tags=39%, list=7%, signal=37%","25936/5528/9793/996/9183/5702/23165/3837/51143/129401/55920/9688/81929/348235/5501/9631/9818/91687/10274/79003/79902/54820/84790/53371/23279/23636/23047/401541/55706/57122/1104/23511/79980/54908/10376/9126/7443/10381/79172/8243/27338/10383/55166/55055/55839/3619/64105/9735/64946/9700/113130/3930/1058/220134/81930/983/11130/151246/7112/26271/2491/9133/4085/11065/891/9232/147841/699/79682/701/332/151648/1063/55143/5347/11004/1062/10403/57405/54821/4001/57082/83540/9212/991"
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion",114,-0.843361701098409,-2.57348623789163,0.0172413793103448,0.0492149758454106,0.022883295194508,954,"tags=56%, list=7%, signal=53%","25936/5528/9793/9183/51143/55920/81929/348235/5501/91687/10274/79003/79902/54820/84790/23279/23047/401541/57122/79980/54908/10376/9126/10381/79172/8243/10383/55166/55732/55055/55839/3619/64105/9735/64946/113130/1058/220134/81930/983/11130/151246/2491/9133/4085/891/147841/699/79682/701/332/151648/1063/55143/5347/11004/1062/10403/57405/54821/57082/83540/9212/991"
"R-HSA-69206","G1/S Transition",126,-0.787810267626772,-2.57268542451111,0.0188679245283019,0.0492149758454106,0.022883295194508,693,"tags=33%, list=5%, signal=32%","6117/23649/7027/6119/54107/6502/7465/1869/4175/5111/286826/5426/7298/1163/1017/5422/23594/1719/4172/84515/8317/4173/5933/4171/6241/10926/993/983/4174/7083/4176/26271/4998/51053/81620/9134/990/891/55388/8318/5427/890"
"R-HSA-2467813","Separation of Sister Chromatids",174,-0.786491926014338,-2.55517683972731,0.0149253731343284,0.0492149758454106,0.022883295194508,954,"tags=38%, list=7%, signal=36%","25936/5528/9793/996/9183/5702/51143/55920/81929/348235/5501/91687/10274/79003/79902/54820/84790/23279/23047/401541/57122/79980/54908/10376/9126/10381/79172/8243/27338/10383/55166/55055/55839/3619/64105/9735/64946/9700/113130/1058/220134/81930/11130/151246/2491/4085/11065/9232/147841/699/79682/701/332/151648/1063/55143/5347/11004/1062/10403/57405/54821/57082/83540/9212/991"
"R-HSA-68882","Mitotic Anaphase",216,-0.786809780334854,-2.54992286608611,0.0153846153846154,0.0492149758454106,0.022883295194508,954,"tags=39%, list=7%, signal=37%","25936/5528/9793/996/9183/5702/23165/3837/51143/129401/55920/9688/81929/348235/5501/9631/9818/91687/10274/79003/79902/54820/84790/53371/23279/23636/23047/401541/55706/57122/1104/23511/79980/54908/10376/9126/7443/10381/79172/8243/27338/10383/55166/55055/55839/3619/64105/9735/64946/9700/113130/3930/1058/220134/81930/983/11130/151246/7112/2491/9133/4085/11065/891/9232/147841/699/79682/701/332/151648/1063/55143/5347/11004/1062/10403/57405/54821/4001/57082/83540/9212/991"
"R-HSA-69618","Mitotic Spindle Checkpoint",108,-0.835385398308773,-2.53197584705752,0.0172413793103448,0.0492149758454106,0.022883295194508,954,"tags=50%, list=7%, signal=47%","25936/5528/9793/996/9183/51143/55920/81929/348235/5501/91687/79003/79902/54820/23279/401541/57122/79980/54908/79172/27338/55166/55055/55839/3619/64105/9735/64946/1058/220134/81930/11130/151246/2491/4085/11065/147841/699/79682/701/332/151648/1063/55143/5347/11004/1062/10403/57405/54821/57082/83540/9212/991"
"R-HSA-68886","M Phase",353,-0.734826078330947,-2.51806561569122,0.0161290322580645,0.0492149758454106,0.022883295194508,1409,"tags=42%, list=11%, signal=39%","7514/27229/11243/9702/8086/23244/54801/8480/5717/7175/348995/10735/9972/9184/22897/54930/5684/5706/55755/10426/84617/8815/10726/5116/55142/10592/7531/5108/25936/5528/9793/996/9183/5702/23165/3837/51143/129401/3320/55920/9688/81929/10762/348235/5501/9631/9818/7283/22994/91687/10274/7840/4957/79003/79902/203068/54820/84930/84790/9738/94239/53371/440145/23279/23636/55125/23047/401541/55706/57122/6418/4927/1104/23511/23354/79980/54908/23310/10376/9126/3021/9662/7443/10381/79172/8243/115106/27338/10383/55166/79441/55732/55835/84131/55055/55839/3619/64105/11064/9735/29781/9918/93323/64946/3014/9700/113130/3930/1058/9493/54892/220134/22995/81930/983/11130/151246/7112/26271/2491/9133/4085/11065/10051/10733/891/9232/147841/699/79682/701/10112/332/151648/1063/55143/5347/23397/4751/11004/1062/10403/57405/54821/4001/64151/57082/83540/9212/991"
"R-HSA-9648025","EML4 and NUDC in mitotic spindle formation",104,-0.835019359690342,-2.5122205224052,0.0181818181818182,0.0492149758454106,0.022883295194508,954,"tags=53%, list=7%, signal=49%","25936/5528/9793/9183/51143/55920/81929/348235/5501/91687/79003/79902/54820/84790/23279/401541/57122/79980/54908/10376/10381/79172/10383/55166/55055/55839/3619/64105/9735/64946/1058/220134/81930/11130/151246/2491/4085/147841/699/79682/701/332/151648/1063/55143/5347/11004/1062/10403/57405/54821/57082/83540/9212/991"
"R-HSA-5663220","RHO GTPases Activate Formins",127,-0.810542549302288,-2.51211433129612,0.0172413793103448,0.0492149758454106,0.022883295194508,954,"tags=45%, list=7%, signal=42%","25936/5528/9793/9183/51143/55920/81929/348235/5501/91687/5216/79003/79902/54820/84790/23279/401541/57122/79980/54908/10376/81624/10381/79172/10383/55166/55055/55839/3619/64105/9735/64946/1058/220134/81930/11130/151246/2491/4085/147841/699/79682/701/332/151648/1063/55143/5347/11004/1062/10403/57405/54821/57082/83540/9212/991"
"R-HSA-69242","S Phase",157,-0.775364088130958,-2.48727651706283,0.0208333333333333,0.0492149758454106,0.022883295194508,693,"tags=34%, list=5%, signal=32%","6117/23649/7027/10274/6119/54107/6502/23047/10714/9126/7465/1869/8243/5982/27338/4175/5111/286826/5985/64785/5426/1163/994/1017/5422/23594/84296/2237/4172/84515/3978/4173/5983/9837/113130/1763/5424/4171/993/5984/4174/4176/4998/11065/51053/81620/9134/990/51659/8318/5427/157570/890"
