"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","133/778","429/18986",0.31002331002331,7.56568452969481,28.4327424324124,9.09962358847751e-81,3.39688948557865e-77,2.90709027273992e-77,"55732/83540/4751/25936/11004/29899/991/259266/163786/6491/1104/55706/84722/3192/1063/55143/9928/348654/55355/57405/699/79172/151246/23397/51143/151648/6599/10274/86/1894/2177/7155/56992/79598/10051/4292/4085/64151/79682/84142/10460/1062/79441/8467/9232/9319/54908/891/64946/64105/55166/7272/26271/387103/203068/8899/3833/54892/8243/2491/24137/292/9134/157570/157313/23137/23310/113130/81930/3619/11130/3832/9126/983/4288/9735/9700/9918/5501/29127/440145/81624/55835/221150/7517/9787/9133/701/9493/55055/90417/57082/9055/5347/55839/3835/10664/81620/29117/9212/146909/10615/3837/29893/332/7283/83990/83903/996/79003/672/990/7153/220134/10403/115106/81929/55125/81610/4605/79980/22974/11065/6790/93323/147841/23354/29128/23636/6597/29781/6598/54069",133
"GO:0098813","GO:0098813","nuclear chromosome segregation","107/778","324/18986",0.330246913580247,8.0592132406614,26.4919355882542,7.73322816085792e-68,1.44340703622413e-64,1.23528144569494e-64,"83540/4751/25936/11004/991/259266/1104/55706/84722/3192/1063/55143/9928/348654/57405/699/23397/51143/151648/6599/10274/86/1894/2177/7155/56992/79598/10051/4292/4085/64151/84142/10460/1062/8467/9232/9319/54908/891/64105/55166/7272/26271/8899/3833/54892/8243/2491/24137/9134/23310/113130/81930/3619/11130/3832/9126/983/9735/9700/9918/5501/29127/440145/221150/7517/9787/9133/701/9493/55055/90417/57082/9055/5347/3835/81620/29117/9212/146909/10615/3837/29893/332/7283/83990/83903/996/79003/990/7153/220134/10403/81929/55125/81610/4605/79980/22974/11065/6790/147841/29128/23636/6597/29781/6598",107
"GO:0006260","GO:0006260","DNA replication","100/778","283/18986",0.353356890459364,8.62317984866515,26.7077759079984,1.29325900946313e-66,1.60924529410862e-63,1.37720740130547e-63,"51514/1660/8317/4998/142/4678/9156/11124/64710/348654/580/2736/4999/4175/8607/86/5984/993/10721/11073/4171/890/201973/8467/26271/51053/25842/253714/4172/3159/5982/10926/5425/4176/5422/5931/9134/9401/4796/84296/4173/157570/54107/25792/6418/80010/374393/2237/6749/7465/6240/79733/9126/55388/983/1763/144455/1017/8914/10445/5426/1663/5985/5983/79596/11169/11198/11177/57697/5427/5888/9768/641/90381/55159/64785/81620/23594/63922/51659/6117/80174/7083/146956/91607/79915/672/990/5111/9837/84515/83743/10036/5424/3978/10856/8318/4174/29980/8208",100
"GO:0000819","GO:0000819","sister chromatid segregation","92/778","235/18986",0.391489361702128,9.55374938467429,27.2735840552771,6.05734762899532e-66,5.65301967475988e-63,4.83790790894758e-63,"83540/4751/25936/11004/991/1104/84722/3192/1063/55143/9928/348654/57405/699/23397/51143/6599/10274/86/7155/56992/79598/10051/4085/64151/84142/10460/1062/8467/9319/54908/891/64105/7272/26271/8899/3833/54892/8243/2491/24137/23310/113130/81930/3619/11130/3832/9126/983/9735/9700/9918/5501/29127/440145/221150/7517/9787/701/9493/55055/90417/57082/9055/5347/3835/81620/29117/9212/146909/10615/3837/332/7283/83903/996/79003/990/7153/220134/10403/81929/55125/4605/22974/11065/147841/29128/23636/6597/29781/6598",92
"GO:0000280","GO:0000280","nuclear division","119/778","451/18986",0.263858093126386,6.43908709009969,24.1647310229732,2.80565106621736e-63,2.09469908603788e-60,1.7926633654673e-60,"83540/4751/25936/11004/991/259266/1104/55706/8438/84722/3192/1063/55143/9928/348654/57405/699/23397/51143/151648/10274/2177/7155/56992/79598/10051/4292/4085/64151/84142/1062/8467/9232/995/9319/54908/891/64105/7272/26271/8899/3833/54892/63979/54443/8243/2491/24137/25788/27085/9134/157313/80010/1164/23310/113130/81930/3619/11130/3832/9126/983/4288/9585/9735/9700/9918/11331/5501/10635/29127/440145/79866/221150/10419/7517/9787/57697/5888/9133/701/9493/55055/90417/57082/9055/5347/3835/81620/2175/9212/146909/10615/3837/29893/332/7283/146956/83990/83903/5889/79003/7153/220134/10403/81929/55125/4605/22974/11065/6790/994/27338/147841/29128/23636/29781/5902/10600",119
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","82/778","194/18986",0.422680412371134,10.3149232767074,26.9561349616274,5.33024471941836e-62,3.31630058959812e-59,2.83812153042714e-59,"83540/4751/25936/11004/991/1104/84722/3192/1063/55143/9928/348654/57405/699/23397/51143/10274/56992/79598/10051/4085/64151/84142/1062/8467/9319/54908/891/64105/7272/26271/8899/3833/54892/8243/2491/24137/23310/113130/81930/3619/11130/3832/9126/983/9735/9700/9918/5501/29127/440145/221150/7517/9787/701/9493/55055/90417/57082/9055/5347/3835/81620/9212/146909/10615/3837/332/7283/83903/79003/220134/10403/81929/55125/4605/22974/11065/147841/29128/23636/29781",82
"GO:0140014","GO:0140014","mitotic nuclear division","95/778","282/18986",0.336879432624113,8.22107057558023,25.2535753735827,4.72784501821888e-61,2.52129220757301e-58,2.15774580906681e-58,"83540/4751/25936/11004/991/1104/84722/3192/1063/55143/9928/348654/57405/699/23397/51143/10274/56992/79598/10051/4085/64151/84142/1062/8467/995/9319/54908/891/64105/7272/26271/8899/3833/54892/54443/8243/2491/24137/27085/157313/23310/113130/81930/3619/11130/3832/9126/983/4288/9585/9735/9700/9918/11331/5501/29127/440145/79866/221150/10419/7517/9787/701/9493/55055/90417/57082/9055/5347/3835/81620/9212/146909/10615/3837/332/7283/83903/79003/220134/10403/81929/55125/4605/22974/11065/6790/27338/147841/29128/23636/29781/5902/10600",95
"GO:0006261","GO:0006261","DNA-templated DNA replication","73/778","169/18986",0.431952662721893,10.5411995558327,25.7534321809727,4.78036539413655e-56,2.23063800203897e-53,1.90900118042163e-53,"8317/4998/142/9156/64710/348654/580/4999/4175/5984/10721/11073/4171/201973/26271/51053/25842/253714/4172/3159/5982/10926/5425/4176/5422/9134/9401/4796/84296/4173/54107/25792/2237/6240/79733/55388/1763/144455/1017/8914/5426/1663/5985/5983/11169/11177/57697/5427/5888/641/90381/55159/64785/81620/23594/63922/51659/6117/80174/7083/146956/91607/79915/672/990/5111/9837/84515/5424/3978/8318/4174/29980",73
"GO:0033044","GO:0033044","regulation of chromosome organization","85/778","258/18986",0.329457364341085,8.03994539766047,23.5340905570894,1.07671236286059e-53,4.46596361173176e-51,3.82201405997882e-51,"83540/4751/142/991/5394/3192/1063/55143/348654/57405/699/10575/10574/7520/23397/51143/6599/8607/86/10051/4171/4085/64151/10460/1062/3184/8467/167227/9319/54908/891/7272/26271/6950/8899/4216/908/54892/3181/1736/23137/2237/23310/3619/11130/54780/983/10576/9735/9700/9918/3178/1017/10445/1663/221150/7517/9787/3183/3320/701/55055/57082/5347/10664/65057/29117/9212/3021/332/83903/996/55135/990/7153/220134/10403/11065/7515/10155/147841/10856/6597/29781/6598",85
"GO:0006302","GO:0006302","double-strand break repair","89/778","323/18986",0.275541795665635,6.72421148137242,21.4481668980075,7.16752328824419e-49,2.67563644350156e-46,2.28983507156012e-46,"8317/79000/142/23028/8438/6421/64858/64710/348654/4175/7520/6599/8607/165918/86/2177/10721/11073/7155/4292/4171/3148/7468/84142/54969/55345/6502/9319/7913/253714/4172/7516/63979/4176/27336/55086/5422/2187/25788/9401/4796/84296/4173/157570/23137/80010/2237/3014/113130/54780/1763/7334/55010/10635/8914/2305/1663/3146/55775/7517/10038/57697/5888/641/55159/5347/29117/2521/51659/6117/146956/83990/5889/55135/708/672/51444/23347/84515/7515/3276/5536/29128/10856/6597/2547/8318/4174/6598",89
