Geneid,Length,Ctr_S1,Ctr_S2,Ctr_S7,Ctr_S13,RS_S6,RS_S9,RS_S12,RS_S16
ENSG00000142611,9767,73,24,54,14,5,11,17,1
ENSG00000284616,1225,0,0,0,0,0,0,0,0
ENSG00000157911,3782,189,175,213,250,182,99,169,102
ENSG00000260972,1697,0,0,0,0,0,0,0,0
ENSG00000224340,337,0,0,0,0,0,0,0,0
ENSG00000229280,372,1,1,0,0,0,0,0,0
ENSG00000142655,2932,224,363,346,301,332,210,268,251
ENSG00000232596,3328,0,0,0,0,0,0,0,0
ENSG00000231510,449,0,0,0,0,0,0,0,0
ENSG00000149527,10809,6,4,3,4,1,3,5,5
ENSG00000171621,3389,532,813,628,659,1170,359,604,568
ENSG00000272235,3461,6,7,5,0,1,2,8,2
ENSG00000284694,3402,0,0,0,1,0,0,0,0
ENSG00000224387,455,0,0,0,0,1,0,0,0
ENSG00000142583,6632,32,13,21,1,26,168,112,9
ENSG00000284674,1580,0,0,0,0,0,0,0,0
ENSG00000224338,565,0,0,0,0,0,0,0,0
ENSG00000287727,2876,0,1,0,0,0,1,0,1
ENSG00000173614,4610,145,242,176,166,164,104,169,153
ENSG00000215720,710,0,0,1,0,0,0,0,0
ENSG00000241326,436,0,0,0,0,0,0,0,0
ENSG00000233623,680,0,0,0,0,0,0,0,0
ENSG00000204624,6120,1,0,1,0,0,0,0,0
ENSG00000142606,3870,0,0,0,0,0,0,0,0
ENSG00000225931,1297,0,0,0,3,2,0,0,0
ENSG00000171729,2238,40,38,96,22,77,41,80,34
ENSG00000229393,514,0,0,0,0,0,0,0,0
ENSG00000287586,3225,0,0,0,0,0,0,0,0
ENSG00000227169,356,0,0,0,0,0,0,0,0
ENSG00000283356,135,0,0,0,0,0,0,0,0
ENSG00000157916,5689,1565,2519,1577,2203,2075,1032,1774,1786
ENSG00000157881,5072,231,254,254,315,132,138,195,170
ENSG00000225387,491,0,0,0,0,0,0,0,0
ENSG00000048707,20768,974,948,1102,943,1012,807,994,907
ENSG00000225196,316,0,0,0,0,0,0,0,0
ENSG00000162444,862,0,0,1,2,0,0,2,0
ENSG00000279625,1853,0,0,0,0,0,0,0,0
ENSG00000180758,5304,80,65,93,67,54,96,81,75
ENSG00000184677,9169,302,525,423,372,361,245,307,287
ENSG00000285833,1051,0,0,0,0,0,0,0,0
ENSG00000131697,13167,173,208,254,234,148,148,230,206
ENSG00000280222,6473,0,0,0,0,0,0,0,0
ENSG00000285945,593,0,0,0,0,0,0,0,0
ENSG00000197921,1324,0,0,0,1,0,0,0,0
ENSG00000284666,609,0,0,0,0,0,0,0,0
ENSG00000228943,235,0,0,0,0,0,0,0,0
ENSG00000234397,492,0,0,0,0,0,0,0,0
ENSG00000204138,7317,315,475,435,441,238,175,220,225
ENSG00000233419,402,0,0,1,0,0,0,0,0
ENSG00000225011,349,0,0,0,0,0,0,0,0
ENSG00000284676,1953,0,0,0,0,0,0,0,0
ENSG00000090020,6195,953,1057,1402,989,1429,914,1131,864
ENSG00000158006,3795,199,287,230,194,243,142,208,174
ENSG00000214812,557,1,0,0,0,0,1,1,1
ENSG00000196581,12528,0,0,0,0,6,0,1,0
ENSG00000169403,4208,1,1,2,2,0,1,1,2
ENSG00000171612,3865,59,78,83,65,51,46,71,27
ENSG00000270927,493,0,0,0,0,0,0,0,0
ENSG00000188910,2362,5,1,1,18,0,0,1,12
ENSG00000230523,2148,0,0,0,0,0,0,0,0
ENSG00000158161,6424,382,743,478,492,350,271,343,353
ENSG00000233234,607,0,0,0,0,0,0,0,0
ENSG00000189337,13860,201,187,259,166,152,284,188,73
ENSG00000028137,3778,103,109,113,40,112,94,40,0
ENSG00000283259,1565,0,0,0,0,0,0,0,0
ENSG00000130939,9237,986,1262,1163,1198,1099,635,979,917
ENSG00000175147,11973,0,0,4,0,3,1,3,0
ENSG00000127472,3342,22,0,1,2,1,5,13,2
ENSG00000060656,6682,221,420,242,290,117,29,205,152
ENSG00000230214,523,0,0,0,0,0,0,0,0
ENSG00000189280,1355,0,3,3,4,14,0,8,7
ENSG00000134698,7423,176,214,216,267,169,151,180,131
ENSG00000272420,568,0,1,0,1,2,0,0,1
ENSG00000273274,12831,0,0,0,0,0,1,0,3
ENSG00000236648,1328,0,0,0,0,0,0,0,0
ENSG00000232273,532,0,0,0,0,2,0,1,1
ENSG00000130940,11336,2,2,8,3,8,4,8,4
ENSG00000163879,4456,108,192,102,106,99,21,46,61
ENSG00000227527,661,3,2,2,0,1,2,1,0
ENSG00000116954,5116,329,333,474,336,438,292,460,192
ENSG00000163873,10497,0,0,0,0,0,1,0,1
ENSG00000117215,2681,0,0,0,0,2,0,0,0
ENSG00000230163,720,0,0,0,0,0,0,0,0
ENSG00000227538,1133,0,1,0,0,0,0,0,0
ENSG00000044012,604,0,0,0,0,0,0,0,0
ENSG00000179051,4079,957,1269,1456,1606,679,595,788,702
ENSG00000215895,1960,19,21,15,17,13,7,17,28
ENSG00000126067,4528,1884,2397,2184,2473,1865,981,1714,1926
ENSG00000274944,3251,0,0,0,0,0,0,0,0
ENSG00000272078,7923,1,1,0,1,1,0,1,0
